ID,Manufacturer Details
29,"SWASTIK TEXHUB INDIA LLP, Koti,Hyderabad, Telangana 500095"
30,"Jaiyam Industries LLP, Plot No - 40, Industrial Area Phase -2, Panchkula, Haryana 134109"
31,"Adidas India Marketing Private Ltd. Office no.6, 2nd Floor, Sector-B, Pocket-7, Plot no-11, Vasant Kunj, New Delhi-110070"
32,"kapoor cotsyn exports 15-b textile colony, industrial area-a , ludhiana-141003"
33,"Brandstudio Lifestyle No.113,Krishna Reddy Indl.Area,7th Mile, Kudlu Gate,Hosur Main Road, Bangalore-560 068"
34,"Prateek Apparels Pvt Ltd 113,Krishna Reddy industrial Area 7th Mile Hosur Road Kudlu Pin-560068"
35,"GUS Clothing Pvt. Ltd. 547, Sarkar Periyalayam, Uthukuli Rd, Tiruppur, Tamil Nadu 641607"
36,"Gala No. B-3 Mahavir Logiplex, Amne Village, Nr. Sawad Naka, Kalyan-Padgha Road, Bhiwandi, Amane, Maharashtra 421302"
37,"MADHAV IMPEX INDIA PLOT NO. A-8, SECTOR A-7, TRONICA CITY INDUSTRIAL AREA, LONI, GAZIABAD, U.P.-201102"
38,"INTERNATIONAL TRADING COMPANY,SF No.562, Shed No.3, NETAJI APPAREL PARK, EETTIVEERAMPALAYAM, AVINASHI TALUK, Tiruppur, Tamil Nadu, 641666"
39,"Monte Carlo Fashions Limited Unit-2, 231, Industrial Area - A, Ludhiana-141003, Punjab, India"
40,"Brand Studio Lifestyle Pvt Ltd Sy#330B,324,331,331B,331 1& 3341Marasur Village Kasaba Hobli Anekal Taluk Bangalore 562106"
41,"LAXMI TRADERS,B-99 MAIN ROAD MAIN KANTI NAGAR DELHI-110051"
42,"PALTA HOSIERY FACTORY, NEW KITCHLU NAGAR PART-II HAMBRAN ROAD LUDHIANA 141001"
43,"Rasham Knitwears, St. NO.1, SANT SINGH NAGAR, NEAR A.V.M SCHOOL, NOORWALA ROAD, LUDHIANA (PB) 141007"
44,"PDS MULTINATIONAL FASHIONS LIMITEDNO-132A,SP MUKHERJEE ROAD,KALIGHAT,KALIGHAT,Kolkata,West bengal,700026"
45,"Jay Kay Knitwears, New kitchlu nagar part 2 ,hambran road,Ludhiana, Punjab, Pin -141010"
46,"Duke Fashions India Limited, GT Road West (Near Jalandhar Bypass, Ludhiana) 141008"
47,"Campus Sutra Retail private limited,2nd floor, 117/A,5th main road,yeshwanthpur,Bengaluru 560022"
48,"Fugazee Lifestyle LLP NR 27,GF,CrossRoad Complex,S Block,DLF Phase 3,Gurugram,Haryana- 122002"
49,"Madhav Impex India Plot No. A-8, Sector A-7, Part-1, Tronica City Industrial Area, Loni, Gaziabad. Uttar Pradesh-201102"
50,"Jay Kay knitwears New kitchlu Nagar,Part-2,Hambran Road,Ludhiana-141001,Punjab,India"
51,"Black Buck Fashion Pvt Ltd, J1, Textile Colony, Industrial Area A, R.K. Road, Ludhiana,141008"
52,"S.R ENTERPRISES House No.116, 04,Guru Gobind Singh Nagar,Noorwala Road,Ludhiana,Punjab,141008"
53,"EASTEND EXPORTS, VILL.GAUNSGARH, RAHON ROAD, Punjab, India, 141007, Ludhiana, Punjab, 141007"
54,"Showoff,No.1371,6th Cross,Munivenkatappa Layout,N.S.Pallya, Btm 2nd Stage,Bangalore - 560076 Karnataka (29) ,India"
55,"Culture clothing pvt ltd, B-117 Sector-88, Noida-201305, India"
56,"Numero Uno CLOTHING LTD. Khasra No. 1//24,25,3//1/1 Village Hasnapur & 14//19/2/2,20,21/1,22/1,15//15/2,16,17,25 Village Darbaripur, Gurgaon, Haryana. Pincode-122004GST No. 06AACCN4869R1ZN"
57,Rover techno solution 102 pandit mohalla chilla village delhi - 110091
58,"WINSOME KNITWEAR(PROP WINSOME YARNS LTD)B-58, PHASE-8, INDUSTRIAL AREA, MOHALI, PUNJAB-160059"
59,"Imported By - Decathlon Sports India, Survey No - 78/10, A2 - Chikkajala Village, Bellary Rd, 562157, Bengaluru, Karnataka, India, Email :, Phone"
60,"MAITRI KNITWEAR ,Behind hp gas agencies,Vill bajra,rahon road ludhiana,Ludhiana,Punjab,141008"
61,"MYTIA EXPORTS PRIVATE LIMITED, C/O AMANDEEP KAUR, BEHIND HP GAS HOUSELUDHIANALudhiana , PUNJAB - 141001"
62,"KAALI PEELI ETAIL PRIVATE LIMITED, 1st Floor,270/88/4-5, Kupendra Reddy Layout,ACES B BLOCK, Singasandra,Bengaluru, Karnataka-560068"
63,"P AND G Enterprises Pvt. Ltd. / D-135 Okhla Phase 1, 110020"
64,"Since99 Apparel Private Limited, H No-104, I-2, Sai Dhara Warehousing Complex, Bhoirgaon, Bhiwandi, Kharbav, Thane, Maharashtra - 421302, India"
65,"GOUTAM TRADING CO., 2580A BABA GAJJA JAIN COLONY, MOTI NAGAR LUDHIANA, Punjab, India, 141010, Ludhiana, Punjab, 141010"
66,"Metawear Limited, A block, Floor 3, Dr Annie Besant Road, Mumbai, Maharashtra - 400018"
67,"Preferred Trade, No.59, Krishnappa Tank street, Kondithope, Chennai - 600079"
68,"Jain Hitex Creation Pvt Ltd, 402/14 Near Nikki Furniture, Mony Hotel Road, Narol-Isanpur Highway, Isanpur, Ahmedabad, Gujarat 382443,"
69,"adidas India Marketing (P) Ltd Office no.6, 2nd Floor, Sector-B, Pocket-7, Plot no-11, Vasant Kunj, New Delhi-110070"
70,"HRIDI INTERNATIONAL LIMITED5/FL.,BLK 33,555 VICTORIA ROAD,,BAGUIO VILLA,POK FU LAM,, HONG KONG, HONG KONG-852"
71,"MAITRI KNITWEAR,VILLAGE KHAWAJKE,OPP GURUDWARA KHWAJKE,NEAR PSEB RAHON ROAD,HADBAST NO 65 TEH AND DISTT LUDHIANA PUNJAB 141008"
72,"Triangle Apparels 6, No. 25/26, Industrial, Suburb Yeshwanthpur, 560022 Bangalore, India"
73,"INZEX TEXTILE PRIVATE LIMITED, C-82, Block C, Sector 88, Noida,, Gautam buddha nagar, Uttar pradesh, 201304"
74,"Triangle Apparels 6, No. 25/26, Industrial, Suburb Yeshwanthpur, Karnataka, 560022 Bangalore, India"
75,"GURKIRPA LIFESTYLE COMPANY, Plot No 18, Sector 27C, Faridabad, Haryana-121003"
76,"BEAR HOUSE CLOTHING PVT LTD 31/161 Preethy Nagar, Near Lifeline Hospital, Laggere, Bengaluru, Karnataka, 560058"
77,"VOXATI, 270/88/4-5, Kupendra Reddy Layout, Singasandra, Bengaluru, Karnataka, Pin-560068"
78,"NK ENTERPRISES A415, Road Number 4 ,Gali Nuumber 10, Near by Hotel Royal inn Mahipalpur New Delhi, Delhi-110037"
79,"Arvind Lifestyle Brands Ltd., 8th Floor, Duparc Trinity, FM Cariappa Colony, Shivaji Nagar, 17, Mahatma Gandhi Rd, Ashok Nagar, Bengaluru, Karnataka 560001"
80,"A.R.ENTERPRISES, C-45 Lakhi Ram Park,New Delhi-110086"
81,"Reset Collection, A-103, SLF VED VIHAR, LONI, GHAZIABAD, UP-201102"
82,"STAR TRADING COMPANY, 37 Rajpur road Civil Lines Modi house A/1 Delhi, New delhi, Delhi, 110054"
83,"V-Mart Retail Ltd, Plot No.862, Sector 19, Phase V, Udyog Vihar, Industrial Area, Gurugram, Haryana 122016"
84,"LORENZINI APPARELS LIMITED, C-64, PHASE 1, OKHLA, NEW DELHI, 110020"
85,"RADHAMANI TEXTILES PVT. LTD. NO. 27, VTMS ARCADE, YELENKUNTE, MANGAMMANAPALYA, Hosur main Road, Bengaluru-560068, Karnataka- India"
86,"bgn apparels,676 phase 2 sector-37 gurgaon,122002,9953353985"
87,"INDIAN CONNECTION,C-58 LB, Lajpat Nagar-II,,NEWDELHI,DELHI,110024"
88,"Vastramay Pvt. Ltd. 59A, Matheswar Tala Road, Opposite Kim Ling Restaurant, Scooter Gali, China Town Kolkata 700046"
89,"VASTRAMAY PRIVATE LIMITED, GSTIN 19AAHCV9775D1ZP, 59A, MATHESWAR TOLA ROAD, kolkata, Kolkata, West Bengal, 700046"
90,"INDIAN CONNECTION, A-92,II FLOOR, Delhi, Delhi, 110052"
91,"BG. ENTERPRISES, ST NO.3, Ludhiana, Punjab, 141008"
92,"ARVIND LIMITED, C/o Yusen Logistics India Pvt Ltd, Sy No 66, Minnapura Village, Thyamagondlu Hobili, Nelamangala Taluk, Bengaluru (Bangalore) Rural, Karnataka, 562123, Bengaluru, Karnataka, 562123"
93,"Shree Logistic Services Mill View Road, Himmat Nagar, Saharanpur Uttar Pradesh India 247001"
94,"Arvind Limited, Arvind Limited, Kalol, Gujarat, 382721"
95,"B-3 Sector 68, Undefined"
96,"Dennison India G-1, Tulsi vihar apartment MadhavGanj,Bada,Lashkar, Gwalior(M.P.) 474002"
97,"MR BUTTON PVT LTD, C-64, OKHLA INDUSTRIAL AREA PHASE-I, NEW DELHI-110020"
98,"Tahvo Designs & Productions, Plot No. 519, Sector 31, Gurgaon , 122001"
99,"Vastramay 59A, Matheswar Tala Road, Opposite Kim Ling Restaurant, Scooter Gali, China Town Kolkata 700046"
100,ANIRUDH ENTERPRISES-IX5310 Ahata Karam Chand Old Seelampur Gandhi Nagar Delhi-110031
101,"Rudraksh Apparel Pvt Ltd, Plot No 8, 2Nd Floor,Kakrola Housing Complex,Old Palam Road. New Delhi 110086"
102,"TURTLE LIMITED, Lemon Fresh, Block-2, 3rd Floor, 29/1 Kalabagan Lane, Howrah-711104, WB, India. Mail-support@turtleonline.in"
103,"Katela Creation, 1/39, First Floor, Mangalam RIICO Indistrial Area, Sirsi Road, Jaipur - 302034"
104,"501, Shree Vidyasagar Apparels Pvt Ltd, 5th floor, opp Bhoomi Plaza, B S Road, Ghoke road, Dadar West , Mumbai-400028"
105,"SILVER SPARK APPAREL - PRESTIGE STAR-1,2ND &3RD FLOOR, MAJOR SANDEEP UNNIKRISHNAN ROAD, NEAR MOT YELAHANKA NEW TOWN, BANGALORE, 560064, INDIA"
106,UNITED EXIM PRIVATE LIMITEDB-3 SECTOR 68-Uttar pradesh-Noida-201301
107,"TAHVO DESIGNS AND PRODUCTIONS PVT. LTD. PLOT NO 519, SECTOR 31 GURGAON HARYANA 122003."
108,"NZ Seasonalwear PVT LTD. 196, Zeel Estate, OPP. Raj Rajeshwari Compound, Sonale Village, Kalyan-Bhiwandi Road, Bhiwandi - 421302"
109,"NZ SEASONALWEAR PVT LTD. 196, ZEEL ESTATE, OPP. RAJRAJESHWARI COMPOUND, SONALE VILLAGE, KALYAN - BHIWANDI ROAD, BHIWANDI - 421302"
110,Sam Apparels #21 16-D Main JC Nagar Geleyara Balaga Layout Kurubarahalli Bangalore-560086
111,"Green Apple Venture LLP, Building no E13, Gala no 109, Hari Har Corporation,Dapoda road, Mankoli Naka, Near Gajanan Petrol Pump,Bhiwandi -421302"
112,"Garg Store, WZ-80, Shastri Nagar, Delhi-110052, Email : gargstore8@gmail.com"
113,"Reoutlook, Swati Trinity, B215, 2nd Floor, Near Applewoods Township, SP Ring Road, Shela, Ahemdabad, Gujarat 380058"
114,"Sri Shankheshwara Novalty, 70, Narayana Mudali Street, Chennai-600079"
115,"Merhaki Food & NutritionGlobalBees Brands Pvt. Ltd.3rd and 4th Floor , 9/1, 9th Main, Sector 6, HSR, Bangalore, India - 560103"
116,"Green Apple Venture LLP, Building no E13, Gala no 109, Hari Har Corporation, Dapoda road, Mankoli Naka, Near Gajanan Petrol Pump, Bhiwandi -421302"
117,"Manufacturer : THE CLOWNFISH, Green Apple Venture LLP. (Contact No- +91-9167484284)"
118,"Shri Hari Om Industries,Plot no.133/134, Amrit Colony,Punj Peeran Road, Near Dairy Chowk,Haibowal Khurd, Ludhiana-141001"
119,"NZ SEASONALWEAR PVT LTD.196,ZEEL ESTATE,OPP.RAJRAJESHWARI COMPOUND,SONALE VILLAGE,KALYAN-BHIWANDI ROAD,BHIWANDI-421302"
120,"CAMISON, near Pili kothi, Rewa, Madhya Pradesh - 486001"
121,"Wildcraft India Limited , No. 15/16, 15th Cross, 100 Feet Road, 4th Phase JP Nagar Bangalore KA 560078"
122,"Knya Enterprise Pvt. Ltd. 401, Todi Building, Mathuradas Mill Compound, Lower Parel Mumbai 400013, MH, India"
123,"Aditya Birla Fashion and Retail,Khacharakanahalli Village,Survey No 32 & 33 Soukya Road (IOC Road)-560067,Hosakote Taluk, Bangalore,Karnataka,India"
124,"Mehta E-Retail India,17/2,1st floor,Central Market,Tilak Nagar,New Delhi,Delhi-110018,India,Ph-9953079291"
125,"TAHVO DESIGNS AND PRODUCTIONS PVT.LTD. PLOT NO. 519, SECTOR 31 GURGAON HARYANA 122001."
126,"UNITED EXIM PVT LTD,B-3, SEC-68,,NOIDA,UTTAR PRADESH,201301"
127,"BGN Apparels, p.no -676, sector-37 pace city 2, gurugram, Gurgaon, Haryana - 122001, 9953353985"
128,"TAHVO DESIGNS AND PRODUCTIONS PVT LTD, Plot No- 519, Sector-31, Gurgaon-122001, Haryana."
129,KRISHNA LABELS PVT. LTD. 162 UDYOG VIHAR PHASE-1- GURUGRAM HARYANA 122016
130,KRISHNA LABELS PVT. LTD. 162- UDYOG VIHAR PHASE-1- GURGAON 122001
131,"Kisah Apparels Private Limited, P-62 South Canal Road, Sector B, Third Lane, Metropolitan Housing society,Kolkata-700105, West Bengal"
132,"KRISHNA LABELS PVT. LTD.,162- UDYOG VIHAR PHASE-1-,GURGAON,HARYANA,122016"
133,"SHREE HARI FASHION House No-371, MD Hospital Basement VPO-Jamalpur GURGAON HARYANA 122503"
134,Krishna Labels Pvt. Ltd. 162 Udyog Vihar Phase-1- Gurugram Haryana 122016
135,"Vijit Retail Private Limited, Plot No-309, Udyog Vihar Phase-6, Sector-37, Gurugram-122001"
136,"39E Post Office Road,Shop No 5,Gorabajar, Dumdum Cantonment, KOLKATA - 700028"
137,"Productid-28932978:Indian Needle Private Limited-B-14 Industrial area near G.T.Karnal Road,Azadpur Delhi-110033;Productid-24535722:Indian Needle Pvt ltd,B-14 G.T Karnal Road Industrial Area,Near Telephone exchange,delhi-110033;"
138,"Productid-32031213:Indian Needle Pvt. Ltd..Add-B-14 Azadpur,Delhi-110033;Productid-32030585:Indian Needle Pvt. Ltd..Add-B-14 Azadpur,Delhi-110033;"
139,"KAAJ STUDIO LLP, Building no. 1, 1st Floor, Plot No. 3305, Road No. 33, Near Rajkamal Char Rasta, Surat, Gujarat, 394230"
140,"Productid-26313940:Indian Needle Pvt. Ltd..Add-B-14 Azadpur,Delhi-110033;Productid-26313864:Indian Needle Pvt. Ltd..Add-B-14 Azadpur,Delhi-110033;"
141,"Productid-26313940:Indian Needle Pvt. Ltd..Add-B-14 Azadpur,Delhi-110033;Productid-31786685:Indian Needle Pvt. Ltd..Add-B-14 Azadpur,Delhi-110033;"
142,"Productid-25704780:Kisah Apparels Private Limited, P-62 South Canal Road, Sector B, Third Lane, Metropolitan Housing society,Kolkata-700105, West Bengal;Productid-22562658:Kisah Apparels Pvt Ltd, P-62 Sector B, Metropolitan Housing society, Cannal South roard, Kolkata-7000105, West Bengal;"
143,"Productid-32968007:Vastramay Pvt. Ltd. 59A, Matheswar Tala Road, Opposite Kim Ling Restaurant, Scooter Gali, China Town Kolkata 700046;Productid-32968009:Vastramay Pvt. Ltd. 59A, Matheswar Tala Road, Opposite Kim Ling Restaurant, Scooter Gali, China Town Kolkata 700046;"
144,"Productid-25704780:Kisah Apparels Private Limited, P-62 South Canal Road, Sector B, Third Lane, Metropolitan Housing society,Kolkata-700105, West Bengal;Productid-25704770:Kisah Apparels Private Limited, P-62 South Canal Road, Sector B, Third Lane, Metropolitan Housing society,Kolkata-700105, West Bengal;"
145,"Productid-30829264:Kisah Apparels Private Limited, P-62 South Canal Road, Sector B, Third Lane, Metropolitan Housing society,Kolkata-700105, West Bengal;Productid-32461762:Kisah Apparels Private Limited, P-62 South Canal Road, Sector B, Third Lane, Metropolitan Housing society,Kolkata-700105, West Bengal;"
146,"Productid-30829244:Kisah Apparels Private Limited, P-62 South Canal Road, Sector B, Third Lane, Metropolitan Housing society,Kolkata-700105, West Bengal;Productid-22703956:Kisah Apparels Pvt Ltd, P-62 Sector B, Metropolitan Housing society, Cannal South roard, Kolkata-7000105, West Bengal;"
147,"Productid-33260883:Vastramay Pvt. Ltd. 59A, Matheswar Tala Road, Opposite Kim Ling Restaurant, Scooter Gali, China Town Kolkata 700046;Productid-33260855:Vastramay Pvt. Ltd. 59A, Matheswar Tala Road, Opposite Kim Ling Restaurant, Scooter Gali, China Town Kolkata 700046;"
148,"Productid-25704780:Kisah Apparels Private Limited, P-62 South Canal Road, Sector B, Third Lane, Metropolitan Housing society,Kolkata-700105, West Bengal;Productid-17332406:Kisah Apparels, P-62 Sector B, Metropolitan Housing socity, Cannal South roard, Kolkata-7000105, West Bengal;"
149,"Productid-32262408:Kisah Apparels Private Limited, P-62 South Canal Road, Sector B, Third Lane, Metropolitan Housing society,Kolkata-700105, West Bengal;Productid-33105633:Kisah Apparels Private Limited, P-62 South Canal Road, Sector B, Third Lane, Metropolitan Housing society,Kolkata-700105, West Bengal;"
150,"Productid-29645844:Indian Needle Private Limited-B-14 Industrial area near G.T.Karnal Road,Azadpur Delhi-110033;Productid-29645846:Indian Needle Private Limited-B-14 Industrial area near G.T.Karnal Road,Azadpur Delhi-110033;"
151,"Productid-17027000:Indian Needle Pvt. Ltd. Add-B-14 Azadpur,Delhi-110033;Productid-28932978:Indian Needle Private Limited-B-14 Industrial area near G.T.Karnal Road,Azadpur Delhi-110033;"
152,"Productid-33260782:Vastramay Pvt. Ltd. 59A, Matheswar Tala Road, Opposite Kim Ling Restaurant, Scooter Gali, China Town Kolkata 700046;Productid-33260906:Vastramay Pvt. Ltd. 59A, Matheswar Tala Road, Opposite Kim Ling Restaurant, Scooter Gali, China Town Kolkata 700046;"
153,"Productid-28310654:Vastramay Pvt. Ltd. 59A, Matheswar Tala Road, Opposite Kim Ling Restaurant, Scooter Gali, China Town Kolkata 700046;Productid-28310652:Vastramay Pvt. Ltd. 59A, Matheswar Tala Road, Opposite Kim Ling Restaurant, Scooter Gali, China Town Kolkata 700046;"
154,"Indian Needle Private Limited-B-14 Industrial area near G.T.Karnal Road,Azadpur Delhi-110033"
155,"See Designs, D-57, Sector 7, Noida UP 201301"
156,"Indian Needle Pvt. Ltd..Add-B-14 Azadpur,Delhi-110033"
157,"SUNSHINE INTERNATIONAL,PLOT NO-17/18, 1ST FLOOT,BHESTAN,Surat,GUJARAT-395023"
158,"Indian Needle Pvt ltd,B-14 G.T Karnal Road Industrial Area,Near Telephone exchange,delhi-110033"
159,"Mokksha Designs, Old No:169,New No:101,SIDCO Plot North ,7Th street,Pattravakkam,Ambattur,600098"
160,"Pawan Kumar, house no. 22-c, virat nagar, model-town, Panipat, Haryana, pincode:-132103, company name :-shagun enterprises."
161,"SIXTH SENSE - SJIT,No 12, ,Laggere Main Road,RAJIV GHANDHI NAGAR, Near Anjaneya temple,KARNATAKA 560058"
162,"Kisah Apparels Private Limited, P-62 South Canal Road, Sector B, Third Lane, Metropolitian Housing society,Kolkata-700105, West Bengal"
163,"See Designs Lifestyle Private Limited, A 184, 2nd Floor, Sector 63, Noida UP 201301"
164,"Name: Shri Ram Enterprises. Address: T-2/156, Mangolpuri Industrial Area, Phase 1, Delhi: 110083"
165,"MAAHII FABRICS PRIVATE LIMITED 111, West Chowbaga, Panchanogram, Kolkata, West Bengal 700105"
166,"Sunshine International PLOT NO :18,GORJIWALA INDUSTRIAL ESTATEOPP. CHURCH,NEAR SAFARI COMPLEXBHESTAN CANAL,BHESTAN SURAT-395023"
167,"Well Tex, 4009/4th Floor, New Sardar Traders Market (NSTM), Puna Kumbhariya Road, Near Sardar Market (APMC), SURAT, 395010."
168,"Syonn Fashion, 17 Park Lane, 3rd Floor, Kolkata - 700064."
169,"Sanwara Fashions, C107, Paridhan Garments Park, 19, Canal South Road,, KOL-700015, India. E-support@sanwara.com; Contact : 033-2323-1070"
170,"Mokksha Designs,169, ,SIDCO Plot North, Ambattur Industrial Estate,Chennai,TAMILNADU-600098"
171,"Mangla Apparels India Private Limited, Plot No.118-E, Sec-56, Phase-V, Kundli, Sonipat, Haryana 131028"
172,"ASOPALAV CREATIONS PVT LTD, PLOT NO. A/2,, ROAD NO.1, UDHANA UDYOGNAGARUDHANASurat , GUJARAT - 394210"
173,"Omnipresent Lifestyle L.L.P Plot 411/412A C/o Shreeji Prints Pvt.Ltd, Pandesara G.I.D.C,Surat-394230"
174,"Lifestyle Int Pvt Ltd, 77 Degree Town Centre, Building No. 3, West Wing, Off HAL Airport Road, Yamlur, Bangalore - 560037"
175,"SUNSHINE LIFESTYLE ,PLOT -I 154,SACHIN GIDC,SURAT-395002"
176,"Productid-30918009:Vastramay Pvt. Ltd. 59A, Matheswar Tala Road, Opposite Kim Ling Restaurant, Scooter Gali, China Town Kolkata 700046;Productid-30918033:Vastramay Pvt. Ltd. 59A, Matheswar Tala Road, Opposite Kim Ling Restaurant, Scooter Gali, China Town Kolkata 700046;"
177,"Productid-25704780:Kisah Apparels Private Limited, P-62 South Canal Road, Sector B, Third Lane, Metropolitan Housing society,Kolkata-700105, West Bengal;Productid-21164350:Kisah Apparels Pvt ltd, P-62 Sector B, Metropolitan Housing society, Canal South road, Kolkata-7000105, West Bengal;"
178,"Productid-26313840:Indian Needle Pvt. Ltd..Add-B-14 Azadpur,Delhi-110033;Productid-24802712:Indian Needle Pvt ltd,B-14 G.T Karnal Road Industrial Area,Near Telephone exchange,delhi-110033;"
179,"Productid-29914403:Indian Needle Private Limited-B-14 Industrial area near G.T.Karnal Road,Azadpur Delhi-110033;Productid-29914428:Indian Needle Private Limited-B-14 Industrial area near G.T.Karnal Road,Azadpur Delhi-110033;"
180,"Productid-15584452:Kisah Apparels Private Limited,P62 Canal South Road, Sector B, Kolkata 700105;Productid-29945227:Kisah Apparels Private Limited, P-62 South Canal Road, Sector B, Third Lane, Metropolitan Housing society,Kolkata-700105, West Bengal;"
181,"Productid-31894944:Indian Needle Pvt ltd,B-14 Industrial Area ,G.T Karnal Road Azadpur ,Delhi-110033;Productid-31894973:Indian Needle Pvt ltd,B-14 Industrial Area ,G.T Karnal Road Azadpur ,Delhi-110033;"
182,"Productid-32262408:Kisah Apparels Private Limited, P-62 South Canal Road, Sector B, Third Lane, Metropolitan Housing society,Kolkata-700105, West Bengal;Productid-6419976:Kisah Apparels Private Limited,P62 Canal South Road, Sector B, Kolkata 700105;"
183,"Productid-31894963:Indian Needle Pvt ltd,B-14 Industrial Area ,G.T Karnal Road Azadpur ,Delhi-110033;Productid-31894944:Indian Needle Pvt ltd,B-14 Industrial Area ,G.T Karnal Road Azadpur ,Delhi-110033;"
184,"Productid-32148900:Vastramay Pvt. Ltd. 59A, Matheswar Tala Road, Opposite Kim Ling Restaurant, Scooter Gali, China Town Kolkata 700046;Productid-32148897:Vastramay Pvt. Ltd. 59A, Matheswar Tala Road, Opposite Kim Ling Restaurant, Scooter Gali, China Town Kolkata 700046;"
185,"Productid-29945227:Kisah Apparels Private Limited, P-62 South Canal Road, Sector B, Third Lane, Metropolitan Housing society,Kolkata-700105, West Bengal;Productid-25704770:Kisah Apparels Private Limited, P-62 South Canal Road, Sector B, Third Lane, Metropolitan Housing society,Kolkata-700105, West Bengal;"
186,"One Million Clothing. Unit ""O"" Second floor swadeshi market mumbai - 400002."
187,"Jk Clothing Pvt. Ltd 9/C, Godown NO.1 Vora Compound Near Parel Cotton Press Factory Elphistone Bridge Parel(E) Mumbai-400012"
188,"ADITYA GLOBAL INC Plot No. 20, Block-C, Industrial Area, Phase 1,Mangol Puri, New Delhi, North West Delhi, Delhi, 110083Delhi, 110033, India"
189,"Cot'N Soft Fashion & Retail, 1872, Near By Pass Road, Faridabad, 121008"
190,"United Textile Mills Pvt Ltd,B-501 to 506, Dhanashree Heights, Off. Veera Desai Road, Azad Nagar, Andheri - (W). Mumbai - 400053"
