M_ID,Name,City,State,Manufacturer Name,Is Fair Wages,Reason for Unfair Wages,Working Hours,Timings,Is Worker Safe,Reason for Lack of Worker Safety,No Child Labor,Reason for Child Labor,Is Worker Satisfied,Reason for Low Worker Satisfaction,Certifications Received,Certification Names,Reason for No Certifications,Years Since Establishment,Ethical Score (1-10),Ethical Rating,Audit
41,Sattenapalle Fabric Creations,Sattenapalle,Andhra Pradesh,Sattenapalle Fabric Creations,TRUE,,8.5,9 AM - 5:30 PM,TRUE,,TRUE,,FALSE,Limited health coverage,2,"GOTS, BSCI",,12,9,Excellent,"Fair Wages: TRUE - 15 | Working Hours 8-10 - 5 | Worker Safety: TRUE - 15 | No Child Labor: TRUE - 15 | Worker Satisfaction: FALSE - 5 (no high-penalty keywords) | Certifications: ['GOTS', 'BSCI'] - Score: 25 | Ethical Longevity >= 10 years - 10"
42,Srikakulam Apparel Network,Srikakulam,Andhra Pradesh,Srikakulam Apparel Network,FALSE,Below minimum wage,10.5,9 AM - 7:30 PM,FALSE,No health facilities,FALSE,Children used in packaging,FALSE,Harsh discipline practices,0,,"Remote village unit, no oversight",9,2.2,Poor,Fair Wages: FALSE - High Penalty: 0 | Working Hours > 10 - 0 | Worker Safety: FALSE - 7 (no high-penalty keywords) | No Child Labor: FALSE - High Penalty: 0 | Worker Satisfaction: FALSE - 5 (no high-penalty keywords) | No certifications - 5 (based on company age) | Ethical Longevity 5-9 years - 5
43,Srikalahasti Clothing Line,Srikalahasti,Andhra Pradesh,Srikalahasti Clothing Line,FALSE,"No maternity leave, unpaid sick leave",10,9 AM - 7 PM,FALSE,Sharp tools without safety gear,TRUE,,FALSE,No support for grievances,0,,"Micro enterprise, no audits",7,4.4,Needs Improvement,Fair Wages: FALSE - 7 (no high-penalty keywords) | Working Hours 8-10 - 5 | Worker Safety: FALSE - 7 (no high-penalty keywords) | No Child Labor: TRUE - 15 | Worker Satisfaction: FALSE - 5 (no high-penalty keywords) | No certifications - High Penalty: 0 | Ethical Longevity 5-9 years - 5
44,Tadepalligudem Textile Partners,Tadepalligudem,Andhra Pradesh,Tadepalligudem Textile Partners,FALSE,Informal pay with irregular increments,10,9 AM - 7 PM,FALSE,No emergency protocol,FALSE,Sibling hiring in units,FALSE,"Poor communication, no HR",0,,Unregistered under factory law,5,2.9,Poor,Fair Wages: FALSE - 7 (no high-penalty keywords) | Working Hours 8-10 - 5 | Worker Safety: FALSE - High Penalty: 0 | No Child Labor: FALSE - 7 (no high-penalty keywords) | Worker Satisfaction: FALSE - 5 (no high-penalty keywords) | No certifications - High Penalty: 0 | Ethical Longevity 5-9 years - 5
45,Tadipatri Garment Solutions,Tadipatri,Andhra Pradesh,Tadipatri Garment Solutions,TRUE,,8,9 AM - 5 PM,TRUE,,TRUE,,TRUE,,2,"ISO 9001, WRAP",,10,9.7,Excellent,"Fair Wages: TRUE - 15 | Working Hours <= 8 - 10 | Worker Safety: TRUE - 15 | No Child Labor: TRUE - 15 | Worker Satisfaction: TRUE - 10 | Certifications: ['ISO 9001', 'WRAP'] - Score: 22 | Ethical Longevity >= 10 years - 10"
46,Tekkali Apparel Makers,Tekkali,Andhra Pradesh,Tekkali Apparel Makers,FALSE,Commission-based wage abuse,10.5,9 AM - 7:30 PM,FALSE,"Poor lighting, unsafe exits",FALSE,Orphan labor in packing,FALSE,Verbal abuse from managers,0,,No government recognition,6,2.4,Poor,Fair Wages: FALSE - 7 (no high-penalty keywords) | Working Hours > 10 - 0 | Worker Safety: FALSE - 7 (no high-penalty keywords) | No Child Labor: FALSE - High Penalty: 0 | Worker Satisfaction: FALSE - High Penalty: 0 | No certifications - 5 (based on company age) | Ethical Longevity 5-9 years - 5
47,Tenali Apparel Ventures,Tenali,Andhra Pradesh,Tenali Apparel Ventures,TRUE,,9,9 AM - 6 PM,TRUE,,TRUE,,TRUE,,2,"GOTS, ISO 9001",,20,9.5,Excellent,"Fair Wages: TRUE - 15 | Working Hours 8-10 - 5 | Worker Safety: TRUE - 15 | No Child Labor: TRUE - 15 | Worker Satisfaction: TRUE - 10 | Certifications: ['GOTS', 'ISO 9001'] - Score: 25 | Ethical Longevity >= 10 years - 10"
48,Tirupati Silk Fabrics,Tirupati,Andhra Pradesh,Tirupati Silk Fabrics,FALSE,Irregular piece-rate payments,11,9 AM - 8 PM,FALSE,No protective gear,TRUE,,FALSE,"Long hours, no grievance mechanism",0,,Small scale; no compliance focus,8,4.4,Needs Improvement,Fair Wages: FALSE - 7 (no high-penalty keywords) | Working Hours > 10 - 0 | Worker Safety: FALSE - 7 (no high-penalty keywords) | No Child Labor: TRUE - 15 | Worker Satisfaction: FALSE - 5 (no high-penalty keywords) | No certifications - 5 (based on company age) | Ethical Longevity 5-9 years - 5
49,Tuni Fabric Source,Tuni,Andhra Pradesh,Tuni Fabric Source,TRUE,,8.5,9 AM - 5:30 PM,TRUE,,TRUE,,FALSE,Lack of promotional policies,2,"OEKO-TEX, GOTS",,11,9,Excellent,"Fair Wages: TRUE - 15 | Working Hours 8-10 - 5 | Worker Safety: TRUE - 15 | No Child Labor: TRUE - 15 | Worker Satisfaction: FALSE - 5 (no high-penalty keywords) | Certifications: ['OEKO-TEX', 'GOTS'] - Score: 25 | Ethical Longevity >= 10 years - 10"
50,Uravakonda Apparel Hub,Uravakonda,Andhra Pradesh,Uravakonda Apparel Hub,FALSE,Gender-based pay gaps,10,8:30 AM - 6:30 PM,FALSE,Manual load carrying,TRUE,,FALSE,No bathrooms or break rooms,0,,No audit compliance,4,4.4,Needs Improvement,Fair Wages: FALSE - 7 (no high-penalty keywords) | Working Hours 8-10 - 5 | Worker Safety: FALSE - 7 (no high-penalty keywords) | No Child Labor: TRUE - 15 | Worker Satisfaction: FALSE - 5 (no high-penalty keywords) | No certifications - 5 (based on company age) | Ethical Longevity <5 years - 0
